titulo,duracion_minutos,genero,director,clasificacion,sinopsis
Atlas,120,Accion,Brad Peyton,4,Es una mujer que lucha por la humanidad en un futuro en el que una inteligencia artificial ha determinado que la unica forma de acabar con la guerra 
Los que se quedan,130,Comedia,Alexander Payne,3,"Un profesor cascarrabias de un prestigioso colegio americano, se ve obligado a permanecer en el campus durante las vacaciones de Navidad para velar por un punado de estudiantes que no tienen a donde ir."
El especialista,126,Drama, David Leitch,4,"Es un doble de accion acostumbrado al riesgo. Cuando participe en una pelicula cuya estrella principal ha desaparecido,"
El laberinto del fauno,112,Terror,Guillermo del Toro,4,Han pasado cinco anos desde el fin de la Guerra Civil en Espana y el ambiente sigue cargado de temor y odio
Coco,109,Animacion,Adrian Molina,4,"En un pequeno y alegre pueblo mexicano vive Miguel, un nino de 12 anos que pertenece a una familia de zapateros, en la que la musica esta prohibida. "
Vengadores: Infinity War,156,Aventura,Anthony Russo,4,"Un nuevo peligro acecha procedente de las sombras del cosmos. Thanos, el infame tirano intergalactico,tiene como objetivo reunir las seis Gemas del Infinito."
El Senor de los Anillos,253,Fantasia,Peter Jackson,5,"Frodo Bolson, hereda un anillo. Lejos de ser una simple baratija, se trata del Anillo unico."
Orgullo y prejuicio,127,Romance,Joe Wright,4,"Finales del siglo XVIII en Inglaterra. En una familia de cinco hijas, la madre les ha ensenado que el unico proposito que tienen que tener en la vida es encontrar un marido"
Matrix,131,Ciencia Ficcion, Lilly Wachowski,4,"Neo es un joven pirata informatico que lleva una doble vida: durante el dia ejerce en una empresa de servicios informaticos, mientras que por la noche se dedica a piratear bases de datos y saltarse sistemas de alta seguridad."
Senna,104,Documental, Asif Kapadia,3,La historia de la monumental vida y tragica muerte del legendario campeon brasileno de automovilismo Ayrton Senna.
El secreto de sus ojos,129,Thriller,Juan Jose Campanella,3,"Benjamin Esposito, se ha retirado recientemente de su cargo en el Juzgado de lo Penal. Con bastante tiempo libre, ahora se dedica a escribir un libro. Benjamin utiliza su experiencia para contar una historia tragica que ocurrio en 1974"
Sombras del pasado,110,Misterio, Adam Cooper,4,"Como parte de un tratamiento de vanguardia contra el Alzheimer, al ex detective de homicidios Roy Freeman se le asigna volver a investigar el asesinato de un profesor universitario."
High School Musical 3: Fin de curso,112,Musical,Kenny Ortega,3,"Los alumnos del ultimo curso, se enfrentan a la perspectiva de la separacion ya que ambos emprenderan caminos diferentes en la universidad."
Los ninos de Winton,110,Biografia,James Hawes,3,"Un corredor de bolsa britanico llamado Nicholas Winton visita Checoslovaquia en los anos 30 y participa en una operacion conocida como Kindertransport, que ayudo a rescatar cientos de ninos judios de la amenaza de los nazis, aunque Winton sigue atormentado por los que no pudo rescatar."
La Pasion de Cristo,126,Historico,Mel Gibson,4,"Recrea las ultimas horas de Jesus de Nazaret, antes de que Judas lo traicionara y de que fuese dirigido a Jerusalen, donde le crucificarian. "
